PolicyKey,PolicyNumber,OrgKey,PlanKey,AgentKey,AdjustmentDate,DateOfCommencement,ModeOfPayment,ChequeEncashmentDetails,PolicyStatus,PremiumInstallmentAmount,FUPDate,Gaps,SumAssured,Budget,PolicyVintageBucket,HasMobile,HasEmail,HasNEFT,HasPAN
339,POL0000339,25,11,70,2023-08-30,2023-09-06,Monthly,Honoured,Inforce,2412.99,2024-01-21,2,203459.2,25083.43,>=2 years and <3 years,1,1,1,1
340,POL0000340,6,9,45,2024-11-01,2024-11-30,Single,NA,Inforce,3776.91,2025-06-29,4,86965.91,39377.67,>=1 year and <2 years,1,1,1,1
341,POL0000341,22,10,79,2023-12-17,2023-12-23,Yearly,NA,Inforce,10300.1,2024-04-14,3,214189.28,55635.46,>=2 years and <3 years,1,1,1,1
342,POL0000342,2,11,35,2025-08-21,2025-09-18,Half-yearly,NA,Inforce,733.05,2026-02-26,5,997020.33,71790.95,Less than 1 year,1,1,1,1
343,POL0000343,36,7,56,2026-01-19,2026-02-17,Monthly,NA,Inforce,1106.64,2026-04-06,5,373212.17,45703.36,Less than 1 year,1,1,1,1
344,POL0000344,40,5,32,2023-04-26,2023-05-25,Half-yearly,NA,Inforce,2717.62,2024-02-07,1,153838.22,46862.8,>=2 years and <3 years,1,1,1,0
345,POL0000345,41,3,50,2025-09-02,2025-09-10,Monthly,NA,Inforce,1998.07,2026-05-16,0,455801.53,111286.49,Less than 1 year,1,1,1,1
346,POL0000346,20,8,47,2024-01-02,2024-01-05,Half-yearly,NA,Inforce,1907.1,2024-10-07,5,210698.68,32621.17,>=2 years and <3 years,1,1,0,0
347,POL0000347,28,8,72,2024-12-14,2025-01-09,Quarterly,NA,Inforce,2769.3,2025-03-03,4,300993.53,62983.06,>=1 year and <2 years,1,0,1,0
348,POL0000348,23,9,12,2024-06-17,2024-07-06,Quarterly,Honoured,Lapsed,973.98,2024-08-27,4,827063.37,23116.91,>=1 year and <2 years,1,1,1,1
349,POL0000349,1,5,53,2024-06-06,2024-06-11,Monthly,NA,Lapsed,1285.32,2024-07-26,0,197522.51,32729.72,>=1 year and <2 years,1,0,0,1
350,POL0000350,16,10,67,2023-05-30,2023-06-21,Monthly,NA,Inforce,5255.04,2023-08-11,4,635037.5,24687.45,>=2 years and <3 years,1,1,0,0
351,POL0000351,20,5,64,2023-10-07,2023-10-29,Monthly,NA,Inforce,3564.71,2024-05-06,4,197549.99,100996.52,>=2 years and <3 years,1,1,1,0
352,POL0000352,20,8,10,2025-07-08,2025-07-15,Monthly,Honoured,Inforce,1150.49,2026-05-18,1,362084.8,149299.92,Less than 1 year,1,0,1,1
353,POL0000353,32,10,79,2024-02-12,2024-02-18,Monthly,NA,Inforce,2280.4,2024-06-09,3,110474.9,67506.04,>=2 years and <3 years,1,1,1,1
354,POL0000354,26,6,80,2024-12-12,2025-01-09,Monthly,Honoured,Inforce,2436.79,2025-05-23,5,167815.8,69738.9,>=1 year and <2 years,0,1,1,1
355,POL0000355,28,11,77,2023-11-17,2023-11-20,Monthly,NA,Lapsed,1272.95,2024-07-17,2,703684.86,81102.47,>=2 years and <3 years,1,1,0,1
356,POL0000356,13,8,41,2025-01-27,2025-01-27,Monthly,NA,Inforce,2913.65,2025-03-23,1,404092.14,106067.58,>=1 year and <2 years,1,1,1,0
357,POL0000357,41,8,74,2026-03-07,2026-03-27,Half-yearly,NA,Inforce,3213.59,2026-08-03,3,184415.38,24858.41,Less than 1 year,1,1,1,1
358,POL0000358,26,6,15,2023-04-17,2023-04-21,Yearly,NA,Cheque Dishonor,3470.47,2023-08-10,1,515467.43,27984.44,>=2 years and <3 years,1,1,0,1
359,POL0000359,12,11,71,2023-08-23,2023-08-26,Single,Honoured,Lapsed,4734.22,2024-01-02,2,655314.17,51800.76,>=2 years and <3 years,1,0,1,1
360,POL0000360,14,8,38,2026-01-30,2026-02-14,Half-yearly,NA,Inforce,3140.26,2026-06-16,4,90500.07,26342.25,Less than 1 year,1,1,1,0
361,POL0000361,27,11,64,2024-02-20,2024-02-22,Monthly,NA,Inforce,2017.6,2024-12-30,2,96172.27,23864.0,>=2 years and <3 years,1,0,1,0
362,POL0000362,10,12,55,2024-03-07,2024-03-25,Half-yearly,NA,Cheque Dishonor,2208.74,2024-12-11,4,214684.13,29836.14,>=2 years and <3 years,1,1,1,1
363,POL0000363,31,10,52,2025-02-22,2025-03-14,Quarterly,Honoured,Lapsed,3333.77,2025-04-24,1,678910.11,30523.96,>=1 year and <2 years,1,1,1,1
364,POL0000364,27,9,5,2023-08-23,2023-09-05,Half-yearly,NA,Lapsed,3307.15,2024-04-30,4,788705.3,373421.12,>=2 years and <3 years,1,0,0,1
365,POL0000365,35,10,11,2025-10-28,2025-11-11,Monthly,NA,Inforce,2913.46,2026-01-25,5,144332.76,47254.65,Less than 1 year,0,1,1,1
366,POL0000366,11,11,79,2023-11-11,2023-11-11,Single,Dishonoured,Inforce,6185.53,2024-03-27,0,601599.19,32322.56,>=2 years and <3 years,1,1,1,1
367,POL0000367,26,6,56,2023-10-28,2023-11-19,Monthly,NA,Inforce,4876.79,2024-01-20,0,369228.57,63082.57,>=2 years and <3 years,1,1,0,1
368,POL0000368,34,9,75,2023-11-05,2023-12-01,Half-yearly,NA,Inforce,2794.89,2024-01-31,5,289453.92,14116.93,>=2 years and <3 years,0,1,1,1
369,POL0000369,30,11,76,2024-08-05,2024-08-16,Half-yearly,NA,Cheque Dishonor,1477.5,2025-01-05,3,326928.48,18710.01,>=1 year and <2 years,1,1,0,1
370,POL0000370,31,2,38,2023-10-27,2023-10-30,Monthly,Dishonoured,Inforce,2442.28,2024-04-28,4,155864.09,132333.92,>=2 years and <3 years,1,1,1,1
371,POL0000371,10,6,40,2025-12-02,2025-12-03,Monthly,Honoured,Inforce,4450.19,2026-03-10,2,162508.48,34892.61,Less than 1 year,1,1,0,1
372,POL0000372,23,8,13,2023-10-12,2023-10-22,Monthly,NA,Inforce,4580.24,2024-09-06,3,707960.81,34691.78,>=2 years and <3 years,1,1,1,1
373,POL0000373,20,1,15,2023-04-03,2023-04-30,Single,NA,Inforce,1762.08,2024-03-16,5,427331.53,47332.27,>=2 years and <3 years,1,1,0,1
374,POL0000374,11,12,32,2024-02-19,2024-03-19,Quarterly,NA,Inforce,4490.14,2024-06-03,5,453297.78,77339.29,>=2 years and <3 years,1,0,1,0
375,POL0000375,28,8,30,2024-10-22,2024-11-04,Half-yearly,NA,Inforce,2251.93,2025-09-25,0,716047.26,108729.01,>=1 year and <2 years,1,1,0,1
376,POL0000376,28,7,4,2025-06-05,2025-06-08,Half-yearly,Honoured,Inforce,2071.76,2025-12-15,3,559389.63,113421.88,Less than 1 year,1,0,0,0
377,POL0000377,28,7,1,2024-06-24,2024-07-09,Half-yearly,NA,Inforce,2528.65,2025-05-29,3,66375.24,34962.92,>=1 year and <2 years,1,1,1,1
378,POL0000378,5,10,14,2025-02-03,2025-02-10,Half-yearly,NA,Inforce,941.26,2025-04-02,4,552842.97,228336.57,>=1 year and <2 years,1,1,0,1
379,POL0000379,13,8,15,2024-04-12,2024-04-16,Monthly,Honoured,Inforce,3455.18,2024-12-29,0,315998.34,72989.35,>=1 year and <2 years,1,1,1,0
380,POL0000380,41,6,77,2024-08-02,2024-08-09,Monthly,NA,Inforce,5323.87,2024-10-28,3,132703.18,58036.61,>=1 year and <2 years,1,1,1,1
381,POL0000381,23,8,80,2023-05-22,2023-05-23,Monthly,NA,Inforce,1158.56,2023-07-26,5,239188.47,65681.33,>=2 years and <3 years,1,1,0,1
382,POL0000382,40,10,11,2025-09-04,2025-09-21,Half-yearly,NA,Inforce,2487.61,2025-10-31,0,494700.25,38889.5,Less than 1 year,0,0,1,0
383,POL0000383,8,3,48,2024-01-07,2024-01-20,Half-yearly,NA,Inforce,1673.55,2024-06-15,0,421863.43,48957.0,>=2 years and <3 years,1,1,1,1
384,POL0000384,9,10,50,2025-08-14,2025-09-12,Monthly,NA,Inforce,1550.97,2026-03-30,2,478574.41,85884.7,Less than 1 year,1,1,0,0
385,POL0000385,42,3,72,2023-10-06,2023-11-03,Monthly,NA,Inforce,4101.09,2024-03-07,2,695942.03,12780.24,>=2 years and <3 years,1,1,0,1
386,POL0000386,29,10,7,2024-02-28,2024-03-22,Yearly,Dishonoured,Inforce,3361.37,2024-11-14,2,87115.1,48217.15,>=2 years and <3 years,0,1,1,0
387,POL0000387,13,7,72,2023-12-09,2023-12-31,Quarterly,NA,Inforce,2600.26,2024-05-23,2,638623.56,56540.94,>=2 years and <3 years,1,1,1,0
388,POL0000388,27,12,57,2023-05-03,2023-05-20,Quarterly,NA,Inforce,13530.67,2023-11-10,4,406850.53,80206.89,>=2 years and <3 years,0,1,0,0
389,POL0000389,15,5,5,2024-07-30,2024-08-27,Monthly,NA,Inforce,2666.01,2025-07-30,3,457027.74,27820.86,>=1 year and <2 years,1,1,0,1
390,POL0000390,30,10,64,2025-01-10,2025-01-21,Quarterly,NA,Inforce,2597.83,2026-01-19,2,726753.61,37188.33,>=1 year and <2 years,1,1,1,1
391,POL0000391,35,6,70,2023-04-29,2023-05-13,Half-yearly,NA,Inforce,3814.48,2024-01-08,4,534195.98,186352.91,>=2 years and <3 years,1,1,1,0
392,POL0000392,35,4,55,2025-06-08,2025-06-24,Monthly,Honoured,Inforce,2657.49,2025-12-21,1,104769.13,14425.18,Less than 1 year,1,0,1,0
393,POL0000393,20,1,58,2024-08-14,2024-09-09,Monthly,Honoured,Inforce,4384.74,2025-01-11,2,235384.7,134020.55,>=1 year and <2 years,1,1,0,0
394,POL0000394,8,4,27,2024-07-11,2024-07-26,Half-yearly,NA,Inforce,4948.4,2025-03-16,3,201267.01,111322.86,>=1 year and <2 years,0,0,0,1
395,POL0000395,40,11,55,2024-12-08,2025-01-02,Monthly,NA,Inforce,2931.77,2025-04-02,4,248135.43,16791.81,>=1 year and <2 years,1,1,1,0
396,POL0000396,14,1,73,2024-07-05,2024-07-12,Monthly,NA,Inforce,4564.81,2024-10-02,0,249292.03,85391.3,>=1 year and <2 years,1,0,0,0
397,POL0000397,21,12,38,2026-03-19,2026-03-31,Monthly,NA,Lapsed,6720.47,2027-01-05,4,429213.51,81721.24,Less than 1 year,1,0,1,1
398,POL0000398,7,3,53,2024-09-01,2024-10-01,Yearly,Dishonoured,Lapsed,3096.72,2025-01-19,2,428783.14,47367.67,>=1 year and <2 years,1,1,0,1
399,POL0000399,9,12,17,2024-09-28,2024-10-02,Monthly,Honoured,Inforce,965.54,2025-05-25,1,1051894.0,70687.87,>=1 year and <2 years,1,1,0,1
400,POL0000400,26,8,19,2024-12-18,2025-01-08,Quarterly,NA,Inforce,5476.63,2025-06-05,0,437371.45,15027.39,>=1 year and <2 years,1,1,1,0
401,POL0000401,29,2,12,2024-06-13,2024-07-03,Monthly,Honoured,Inforce,3087.9,2025-04-19,5,414643.3,39340.94,>=1 year and <2 years,1,1,0,1
402,POL0000402,24,8,63,2025-07-23,2025-08-04,Monthly,NA,Inforce,1601.09,2025-12-14,0,685967.35,10786.91,Less than 1 year,1,1,1,1
403,POL0000403,6,12,59,2023-08-03,2023-08-28,Quarterly,NA,Lapsed,1522.7,2024-02-21,0,328480.97,16144.41,>=2 years and <3 years,1,1,0,1
404,POL0000404,35,7,28,2026-01-24,2026-01-30,Yearly,Honoured,Inforce,3355.68,2026-08-29,1,536115.09,101340.07,Less than 1 year,1,1,0,1
405,POL0000405,21,5,44,2023-11-28,2023-12-04,Quarterly,NA,Lapsed,3065.09,2024-06-11,5,468643.87,15002.75,>=2 years and <3 years,1,1,1,1
406,POL0000406,22,11,7,2023-07-27,2023-08-13,Single,NA,Inforce,8462.91,2024-06-22,3,352957.63,24345.12,>=2 years and <3 years,1,0,1,1
407,POL0000407,2,2,21,2024-02-20,2024-02-28,Monthly,NA,Cooling Off,1994.38,2024-04-18,4,213095.17,29904.25,>=2 years and <3 years,1,1,1,1
408,POL0000408,13,12,17,2024-05-09,2024-06-07,Yearly,NA,Lapsed,5996.6,2024-11-01,2,571727.6,11347.8,>=1 year and <2 years,1,1,0,1
409,POL0000409,18,2,47,2024-02-04,2024-02-13,Monthly,NA,Lapsed,1765.84,2024-08-23,0,68142.44,108592.86,>=2 years and <3 years,1,1,1,1
410,POL0000410,11,1,51,2023-12-20,2024-01-09,Quarterly,Honoured,Inforce,1715.57,2024-11-30,4,696064.54,47206.87,>=2 years and <3 years,0,0,0,0
411,POL0000411,28,11,12,2024-05-21,2024-06-12,Half-yearly,NA,Inforce,3866.75,2025-04-10,5,177957.62,44589.35,>=1 year and <2 years,1,0,1,0
412,POL0000412,9,10,29,2025-07-29,2025-08-22,Quarterly,NA,Inforce,1114.78,2026-04-13,1,1136380.31,46096.45,Less than 1 year,0,0,1,1
413,POL0000413,22,2,55,2025-12-12,2025-12-17,Half-yearly,NA,Inforce,5678.75,2026-03-30,1,941437.59,62994.54,Less than 1 year,1,1,1,0
414,POL0000414,6,12,14,2025-08-26,2025-09-10,Monthly,NA,Inforce,7889.65,2025-11-16,4,301035.62,50674.37,Less than 1 year,1,1,1,1
415,POL0000415,25,3,19,2025-07-06,2025-07-19,Single,NA,Inforce,2514.37,2026-03-18,2,74908.99,56554.74,Less than 1 year,1,0,1,0
416,POL0000416,11,8,45,2024-09-02,2024-09-12,Half-yearly,NA,Inforce,8169.47,2025-01-25,1,489045.39,26944.5,>=1 year and <2 years,1,1,0,1
417,POL0000417,27,10,57,2025-03-17,2025-04-15,Yearly,NA,Inforce,1331.34,2025-09-26,4,113705.01,73461.09,Less than 1 year,1,1,1,0
418,POL0000418,8,10,50,2023-07-24,2023-08-22,Monthly,NA,Inforce,1130.79,2024-03-04,5,159489.42,26647.52,>=2 years and <3 years,1,0,0,1
419,POL0000419,16,5,11,2026-01-06,2026-01-16,Monthly,NA,Inforce,1602.68,2026-02-19,1,455625.25,40573.29,Less than 1 year,1,1,0,1
420,POL0000420,19,12,4,2024-09-18,2024-10-12,Half-yearly,NA,Inforce,3732.99,2024-11-16,1,319983.26,24739.76,>=1 year and <2 years,1,1,1,1
421,POL0000421,34,10,66,2024-08-07,2024-08-27,Monthly,NA,Inforce,2570.27,2025-04-21,5,633886.23,113536.94,>=1 year and <2 years,1,1,1,1
422,POL0000422,16,8,50,2024-03-04,2024-03-16,Monthly,NA,Inforce,2899.37,2024-05-11,1,525769.63,647285.82,>=2 years and <3 years,1,1,1,1
423,POL0000423,34,1,47,2024-11-19,2024-12-11,Yearly,NA,Lapsed,1669.47,2025-04-16,1,84249.97,25284.02,>=1 year and <2 years,1,1,0,1
424,POL0000424,37,7,47,2024-12-08,2024-12-22,Quarterly,NA,Inforce,4290.02,2025-02-16,2,848321.78,38791.33,>=1 year and <2 years,1,1,0,0
425,POL0000425,5,1,76,2024-10-13,2024-11-02,Single,NA,Inforce,2218.86,2025-04-06,4,412158.41,10013.85,>=1 year and <2 years,1,1,1,1
426,POL0000426,4,7,65,2025-10-11,2025-10-23,Monthly,Honoured,Inforce,5043.69,2026-02-18,1,428673.38,115216.64,Less than 1 year,1,1,1,1
427,POL0000427,28,12,52,2025-11-25,2025-12-15,Single,NA,Inforce,4809.41,2026-03-29,5,145276.33,75636.07,Less than 1 year,1,1,1,1
428,POL0000428,18,2,40,2025-10-07,2025-10-13,Single,Honoured,Cooling Off,5625.44,2026-08-13,0,113438.11,37172.55,Less than 1 year,1,0,1,1
429,POL0000429,10,9,42,2024-04-24,2024-05-16,Monthly,NA,Inforce,1996.54,2024-11-19,4,92025.72,42858.91,>=1 year and <2 years,0,0,0,1
430,POL0000430,42,2,40,2024-10-11,2024-10-15,Half-yearly,Honoured,Inforce,1595.27,2025-04-25,3,381714.52,121103.75,>=1 year and <2 years,1,1,1,1
431,POL0000431,4,4,12,2024-11-16,2024-11-21,Yearly,NA,Inforce,2935.32,2025-08-24,4,196822.03,40087.78,>=1 year and <2 years,1,1,0,0
432,POL0000432,4,5,23,2024-10-28,2024-11-13,Monthly,Honoured,Inforce,6375.75,2025-02-03,3,646018.28,151533.16,>=1 year and <2 years,1,1,1,1
433,POL0000433,11,8,45,2025-12-31,2026-01-16,Quarterly,Honoured,Inforce,2871.68,2026-11-01,2,121949.09,20932.06,Less than 1 year,1,0,1,1
434,POL0000434,11,6,17,2023-12-28,2024-01-13,Half-yearly,Honoured,Inforce,3536.66,2024-03-16,0,232489.25,42922.46,>=2 years and <3 years,1,1,1,1
435,POL0000435,8,1,43,2023-06-15,2023-06-23,Half-yearly,NA,Inforce,616.18,2023-10-28,3,2684865.15,109044.13,>=2 years and <3 years,1,1,1,1
436,POL0000436,37,11,10,2025-09-24,2025-09-29,Quarterly,NA,Inforce,2641.13,2026-02-14,1,119636.15,50467.27,Less than 1 year,1,1,0,0
437,POL0000437,37,3,48,2025-06-28,2025-07-20,Monthly,Honoured,Lapsed,6698.82,2025-09-03,3,125178.29,72795.69,Less than 1 year,1,1,1,1
438,POL0000438,8,4,66,2023-08-20,2023-09-10,Single,Honoured,Inforce,1863.04,2024-08-18,2,107857.89,71779.36,>=2 years and <3 years,1,1,0,1
439,POL0000439,3,8,47,2026-03-18,2026-04-03,Monthly,NA,Lapsed,5813.95,2026-11-13,0,806262.03,25328.77,Less than 1 year,1,1,0,1
440,POL0000440,3,9,54,2025-01-10,2025-01-23,Monthly,NA,Lapsed,1205.61,2025-05-03,1,50000.0,19323.29,>=1 year and <2 years,1,1,0,0
441,POL0000441,21,5,10,2025-11-18,2025-12-18,Quarterly,NA,Inforce,3031.08,2026-09-15,0,509690.35,12704.3,Less than 1 year,1,1,1,1
442,POL0000442,4,3,29,2023-08-23,2023-08-28,Half-yearly,Dishonoured,Cooling Off,1339.01,2023-12-25,2,885238.94,442405.16,>=2 years and <3 years,1,1,1,1
443,POL0000443,5,8,37,2024-06-19,2024-06-24,Half-yearly,NA,Inforce,1691.33,2024-10-28,1,411546.08,66873.18,>=1 year and <2 years,1,1,1,1
444,POL0000444,30,1,48,2025-09-04,2025-09-18,Monthly,NA,Inforce,4016.2,2026-02-03,4,95240.45,25331.19,Less than 1 year,1,0,0,0
445,POL0000445,40,4,60,2024-07-19,2024-08-08,Monthly,Dishonoured,Cheque Dishonor,2833.41,2025-03-28,2,436838.84,53160.41,>=1 year and <2 years,1,1,1,1
446,POL0000446,13,12,70,2023-06-07,2023-06-19,Half-yearly,NA,Inforce,3811.82,2024-04-19,5,288101.41,162251.41,>=2 years and <3 years,1,1,1,0
447,POL0000447,27,1,30,2025-06-28,2025-07-12,Quarterly,NA,Inforce,2402.66,2026-03-21,1,306296.06,8244.04,Less than 1 year,0,1,1,1
448,POL0000448,1,6,1,2025-03-15,2025-04-09,Half-yearly,NA,Inforce,5587.01,2025-07-10,1,208447.79,40305.95,Less than 1 year,1,0,0,1
449,POL0000449,20,2,27,2024-08-03,2024-08-21,Quarterly,NA,Inforce,978.31,2024-11-04,4,361932.94,231073.65,>=1 year and <2 years,1,1,1,1
450,POL0000450,4,3,36,2025-01-17,2025-01-30,Single,Honoured,Lapsed,3980.58,2025-04-02,0,244513.55,36242.99,>=1 year and <2 years,1,1,1,1
451,POL0000451,34,7,48,2024-03-31,2024-04-08,Quarterly,Honoured,Inforce,5125.7,2024-06-12,1,376356.04,19713.88,>=1 year and <2 years,1,1,1,1
452,POL0000452,33,3,51,2024-09-03,2024-09-06,Single,NA,Inforce,2157.3,2025-04-17,5,110072.39,62796.99,>=1 year and <2 years,1,1,0,0
453,POL0000453,9,4,38,2024-10-12,2024-11-09,Monthly,NA,Inforce,2065.71,2025-06-24,3,153448.83,142833.91,>=1 year and <2 years,1,1,0,0
454,POL0000454,21,6,58,2025-01-03,2025-01-31,Monthly,NA,Inforce,2336.06,2025-06-15,1,650553.02,37455.04,>=1 year and <2 years,1,1,1,1
455,POL0000455,38,2,20,2024-04-21,2024-05-17,Monthly,NA,Inforce,1467.94,2024-12-08,2,179239.57,88523.02,>=1 year and <2 years,1,1,0,1
456,POL0000456,8,9,46,2023-05-15,2023-05-31,Yearly,NA,Inforce,3572.49,2024-01-04,4,341419.66,361761.83,>=2 years and <3 years,1,1,1,1
457,POL0000457,17,2,12,2024-04-10,2024-04-10,Monthly,NA,Inforce,2453.41,2024-06-05,5,138889.42,43711.94,>=1 year and <2 years,1,1,1,1
458,POL0000458,39,1,28,2024-10-10,2024-10-24,Half-yearly,NA,Inforce,2355.53,2024-12-13,0,194513.63,83672.4,>=1 year and <2 years,1,1,1,1
459,POL0000459,16,6,51,2024-08-28,2024-09-11,Quarterly,NA,Inforce,3559.19,2024-10-28,0,364940.33,130214.23,>=1 year and <2 years,1,1,1,1
460,POL0000460,12,1,52,2024-10-26,2024-11-21,Yearly,NA,Inforce,2390.33,2025-02-14,3,50986.37,41033.48,>=1 year and <2 years,1,1,1,0
461,POL0000461,7,8,14,2023-11-05,2023-11-26,Half-yearly,NA,Inforce,521.51,2024-03-20,1,218605.26,31596.41,>=2 years and <3 years,1,0,0,0
462,POL0000462,15,3,26,2023-10-18,2023-11-09,Half-yearly,NA,Inforce,2470.54,2024-09-30,4,76003.81,33610.55,>=2 years and <3 years,1,1,1,1
463,POL0000463,42,2,75,2026-01-29,2026-02-13,Quarterly,Honoured,Inforce,3481.5,2026-07-31,4,465940.79,104372.21,Less than 1 year,1,1,1,0
464,POL0000464,5,4,57,2025-04-04,2025-04-09,Half-yearly,NA,Inforce,7587.77,2025-12-24,1,558014.15,5670.46,Less than 1 year,1,1,0,1
465,POL0000465,22,2,6,2025-04-13,2025-04-14,Yearly,NA,Lapsed,1699.99,2026-01-19,1,157099.3,28908.68,Less than 1 year,1,1,1,1
466,POL0000466,28,12,51,2023-06-30,2023-07-21,Quarterly,NA,Inforce,3880.15,2023-10-23,5,399076.28,97923.36,>=2 years and <3 years,1,1,1,1
467,POL0000467,23,4,24,2024-12-09,2025-01-05,Monthly,NA,Inforce,4602.49,2025-11-29,1,396866.49,46891.6,>=1 year and <2 years,0,1,0,0
468,POL0000468,40,10,79,2025-05-12,2025-05-14,Monthly,NA,Inforce,3002.63,2025-11-23,2,4755321.55,64627.14,Less than 1 year,1,0,1,1
469,POL0000469,36,8,8,2024-10-29,2024-11-20,Single,NA,Inforce,2331.64,2025-05-22,5,218557.27,185135.73,>=1 year and <2 years,1,1,1,1
470,POL0000470,42,9,32,2024-08-13,2024-08-29,Quarterly,Honoured,Inforce,5580.11,2025-05-13,0,432071.99,15082.61,>=1 year and <2 years,0,1,0,0
471,POL0000471,25,12,46,2024-07-18,2024-07-26,Quarterly,Honoured,Inforce,1263.31,2025-07-03,4,278240.44,78673.65,>=1 year and <2 years,1,0,0,0
472,POL0000472,37,9,42,2024-08-28,2024-09-11,Monthly,NA,Inforce,1597.71,2025-06-03,5,199353.73,72310.19,>=1 year and <2 years,1,0,1,0
473,POL0000473,15,1,36,2026-02-20,2026-02-20,Single,Dishonoured,Inforce,1068.32,2026-05-04,3,293133.78,70663.1,Less than 1 year,1,0,1,0
474,POL0000474,38,4,21,2025-12-11,2025-12-29,Monthly,NA,Inforce,4093.72,2026-04-25,0,134441.42,157874.46,Less than 1 year,1,1,1,1
475,POL0000475,4,4,74,2026-03-25,2026-04-10,Half-yearly,Honoured,Inforce,1538.54,2027-02-09,2,462325.91,337004.3,Less than 1 year,1,1,1,1
476,POL0000476,12,3,31,2023-10-14,2023-10-24,Quarterly,Honoured,Inforce,2034.34,2023-11-27,3,381562.37,82311.57,>=2 years and <3 years,1,0,1,1
477,POL0000477,38,1,46,2024-07-28,2024-08-25,Yearly,NA,Inforce,3329.22,2024-09-30,5,220219.74,215443.59,>=1 year and <2 years,1,1,1,1
478,POL0000478,13,8,70,2025-11-28,2025-12-15,Monthly,NA,Inforce,3172.85,2026-01-20,4,175753.55,112894.04,Less than 1 year,1,0,1,1
479,POL0000479,15,10,29,2023-04-30,2023-05-26,Single,NA,Inforce,3582.43,2023-09-19,0,359483.72,46579.51,>=2 years and <3 years,1,1,1,1
480,POL0000480,40,4,17,2023-07-01,2023-07-08,Monthly,NA,Inforce,1332.61,2023-11-30,5,358342.15,48801.58,>=2 years and <3 years,1,0,1,1
481,POL0000481,21,1,3,2025-04-28,2025-05-18,Monthly,Honoured,Inforce,1927.52,2025-11-29,5,69032.29,24545.83,Less than 1 year,1,1,0,1
482,POL0000482,8,9,47,2025-07-04,2025-07-20,Yearly,NA,Lapsed,2978.38,2026-06-14,5,206510.47,109182.52,Less than 1 year,1,1,1,1
483,POL0000483,26,10,13,2025-11-16,2025-11-19,Monthly,NA,Cooling Off,2238.54,2026-01-16,0,126168.34,71318.98,Less than 1 year,1,1,0,1
484,POL0000484,28,11,63,2026-02-11,2026-02-27,Quarterly,NA,Cooling Off,1992.36,2026-07-07,1,925691.99,5087.24,Less than 1 year,0,1,1,0
485,POL0000485,40,6,29,2023-09-08,2023-09-26,Half-yearly,Honoured,Inforce,1662.38,2023-12-06,4,417740.48,33594.18,>=2 years and <3 years,1,1,1,0
486,POL0000486,19,3,23,2024-03-30,2024-04-03,Half-yearly,Honoured,Lapsed,2137.07,2024-12-17,4,1148070.56,42209.71,>=1 year and <2 years,1,1,1,0
487,POL0000487,26,10,5,2024-08-31,2024-09-11,Monthly,NA,Inforce,2500.41,2025-06-22,0,1598974.47,67670.24,>=1 year and <2 years,1,1,1,0
488,POL0000488,40,4,73,2026-02-06,2026-02-22,Monthly,NA,Inforce,2897.53,2026-06-29,0,287635.14,86813.56,Less than 1 year,1,1,1,1
489,POL0000489,5,4,45,2024-01-03,2024-01-14,Yearly,NA,Lapsed,1019.07,2024-08-22,0,142195.38,33575.52,>=2 years and <3 years,1,0,0,1
490,POL0000490,6,12,43,2025-06-23,2025-07-10,Monthly,NA,Inforce,1222.82,2026-05-06,4,679269.24,84067.7,Less than 1 year,1,1,1,0
491,POL0000491,5,6,33,2025-04-07,2025-05-05,Half-yearly,Honoured,Inforce,735.74,2026-04-03,2,281152.37,32320.53,Less than 1 year,1,1,0,0
492,POL0000492,29,12,54,2025-01-20,2025-02-09,Yearly,Honoured,Inforce,3413.55,2025-06-29,3,119756.46,54166.63,>=1 year and <2 years,1,1,0,1
493,POL0000493,25,6,70,2025-03-14,2025-03-26,Monthly,Honoured,Inforce,1910.89,2025-07-04,5,397721.68,67837.7,>=1 year and <2 years,1,1,0,1
494,POL0000494,37,11,29,2023-07-12,2023-08-09,Monthly,NA,Inforce,2245.19,2023-09-14,3,540609.87,12339.23,>=2 years and <3 years,1,1,1,0
495,POL0000495,19,1,41,2024-07-06,2024-08-05,Monthly,NA,Inforce,1008.07,2025-06-28,3,205578.98,15181.52,>=1 year and <2 years,1,1,0,1
496,POL0000496,25,3,10,2025-07-14,2025-07-22,Quarterly,Honoured,Inforce,1989.79,2026-07-22,3,489108.35,11541.22,Less than 1 year,1,1,1,1
497,POL0000497,39,10,62,2023-04-27,2023-05-12,Half-yearly,NA,Inforce,1245.02,2023-07-11,4,316261.41,32919.08,>=2 years and <3 years,1,1,1,1
498,POL0000498,39,7,21,2025-08-15,2025-08-27,Single,NA,Cooling Off,6325.22,2026-02-02,4,828665.7,30941.43,Less than 1 year,1,0,1,1
499,POL0000499,27,12,71,2023-12-06,2023-12-15,Half-yearly,Honoured,Inforce,3912.36,2024-10-30,1,262935.03,22916.47,>=2 years and <3 years,1,1,0,0
500,POL0000500,19,5,31,2024-06-22,2024-07-14,Single,NA,Inforce,3957.04,2024-08-28,4,171956.09,20257.47,>=1 year and <2 years,1,1,1,1
501,POL0000501,32,3,7,2025-10-23,2025-11-06,Monthly,NA,Inforce,2421.52,2026-01-13,0,457988.68,70259.07,Less than 1 year,1,1,1,0
502,POL0000502,41,10,62,2025-04-16,2025-05-01,Monthly,NA,Inforce,1403.27,2025-11-23,1,53366.48,48355.42,Less than 1 year,1,1,1,0
